lufthavn,innanlands- / utanlandsflyging,år,måned,Passasjerer
Oslo Gardermoen,Innanlandske flygingar,2009,1,600671
Oslo Gardermoen,Innanlandske flygingar,2009,2,634182
Oslo Gardermoen,Innanlandske flygingar,2009,3,756543
Oslo Gardermoen,Innanlandske flygingar,2009,4,707847
Oslo Gardermoen,Innanlandske flygingar,2009,5,753760
Oslo Gardermoen,Innanlandske flygingar,2009,6,827031
Oslo Gardermoen,Innanlandske flygingar,2009,7,645424
Oslo Gardermoen,Innanlandske flygingar,2009,8,730701
Oslo Gardermoen,Innanlandske flygingar,2009,9,799973
Oslo Gardermoen,Innanlandske flygingar,2009,10,844940
Oslo Gardermoen,Innanlandske flygingar,2009,11,779824
Oslo Gardermoen,Innanlandske flygingar,2009,12,632807
Oslo Gardermoen,Innanlandske flygingar,2010,1,636701
Oslo Gardermoen,Innanlandske flygingar,2010,2,670586
Oslo Gardermoen,Innanlandske flygingar,2010,3,775616
Oslo Gardermoen,Innanlandske flygingar,2010,4,536408
Oslo Gardermoen,Innanlandske flygingar,2010,5,782623
Oslo Gardermoen,Innanlandske flygingar,2010,6,834362
Oslo Gardermoen,Innanlandske flygingar,2010,7,697355
Oslo Gardermoen,Innanlandske flygingar,2010,8,807763
Oslo Gardermoen,Innanlandske flygingar,2010,9,869451
Oslo Gardermoen,Innanlandske flygingar,2010,10,887018
Oslo Gardermoen,Innanlandske flygingar,2010,11,823682
Oslo Gardermoen,Innanlandske flygingar,2010,12,695214
Oslo Gardermoen,Innanlandske flygingar,2011,1,697461
Oslo Gardermoen,Innanlandske flygingar,2011,2,723379
Oslo Gardermoen,Innanlandske flygingar,2011,3,885348
Oslo Gardermoen,Innanlandske flygingar,2011,4,771576
Oslo Gardermoen,Innanlandske flygingar,2011,5,917758
Oslo Gardermoen,Innanlandske flygingar,2011,6,916550
Oslo Gardermoen,Innanlandske flygingar,2011,7,735850
Oslo Gardermoen,Innanlandske flygingar,2011,8,844430
Oslo Gardermoen,Innanlandske flygingar,2011,9,938080
Oslo Gardermoen,Innanlandske flygingar,2011,10,947995
Oslo Gardermoen,Innanlandske flygingar,2011,11,891908
Oslo Gardermoen,Innanlandske flygingar,2011,12,729721
Oslo Gardermoen,Innanlandske flygingar,2012,1,762121
Oslo Gardermoen,Innanlandske flygingar,2012,2,809216
Oslo Gardermoen,Innanlandske flygingar,2012,3,915675
Oslo Gardermoen,Innanlandske flygingar,2012,4,792390
Oslo Gardermoen,Innanlandske flygingar,2012,5,968577
Oslo Gardermoen,Innanlandske flygingar,2012,6,912612
Oslo Gardermoen,Innanlandske flygingar,2012,7,768566
