lufthavn,år,Passasjerer
Alta,2009,343542
Alta,2010,336454
Alta,2011,359605
Alta,2012,354627
Alta,2013,359303
Alta,2014,377681
Alta,2015,398351
Alta,2016,384565
Alta,2017,388458
Alta,2018,391935
Alta,2019,377473
Alta,2020,202868
Alta,2021,256239
Alta,2022,344846
Alta,2023,365574
Alta,2024,342102
Andenes Andøya,2009,59756
Andenes Andøya,2010,61747
Andenes Andøya,2011,62136
Andenes Andøya,2012,67358
Andenes Andøya,2013,75750
Andenes Andøya,2014,69084
Andenes Andøya,2015,68154
Andenes Andøya,2016,69039
Andenes Andøya,2017,78714
Andenes Andøya,2018,75312
Andenes Andøya,2019,64950
Andenes Andøya,2020,61482
Andenes Andøya,2021,64057
Andenes Andøya,2022,100661
Andenes Andøya,2023,95552
Andenes Andøya,2024,73748
Bardufoss,2009,176895
Bardufoss,2010,190438
Bardufoss,2011,197576
Bardufoss,2012,209218
Bardufoss,2013,212991
Bardufoss,2014,220761
Bardufoss,2015,230770
Bardufoss,2016,245211
Bardufoss,2017,246187
Bardufoss,2018,241697
Bardufoss,2019,246098
Bardufoss,2020,131514
Bardufoss,2021,127812
Bardufoss,2022,178531
Bardufoss,2023,203732
Bardufoss,2024,189611
Bergen Flesland,2009,3588178
Bergen Flesland,2010,3604882
Bergen Flesland,2011,3963899
Bergen Flesland,2012,4086638
Bergen Flesland,2013,4200986
Bergen Flesland,2014,4172709
Bergen Flesland,2015,3867632
Bergen Flesland,2016,3759995
Bergen Flesland,2017,3851042
Bergen Flesland,2018,3967206
Bergen Flesland,2019,4053463
Bergen Flesland,2020,2258109
Bergen Flesland,2021,2819075
Bergen Flesland,2022,4107972
Bergen Flesland,2023,4173226
Bergen Flesland,2024,3743336
Berlevåg,2009,26656
Berlevåg,2010,24659
Berlevåg,2011,26049
Berlevåg,2012,25946
Berlevåg,2013,22893
Berlevåg,2014,22059
Berlevåg,2015,22739
Berlevåg,2016,22752
Berlevåg,2017,22403
Berlevåg,2018,21296
Berlevåg,2019,22370
Berlevåg,2020,16606
Berlevåg,2021,22499
Berlevåg,2022,25203
Berlevåg,2023,26707
Berlevåg,2024,22692
Bodø,2009,1734450
Bodø,2010,1713538
Bodø,2011,1869716
Bodø,2012,1882561
Bodø,2013,1763316
Bodø,2014,1761766
Bodø,2015,1791225
Bodø,2016,1864889
Bodø,2017,1909905
Bodø,2018,1882327
Bodø,2019,1922959
Bodø,2020,1093301
Bodø,2021,1287148
Bodø,2022,1761813
Bodø,2023,1857054
Bodø,2024,1755652
Brønnøysund Brønnøy,2009,141606
Brønnøysund Brønnøy,2010,165455
Brønnøysund Brønnøy,2011,187714
Brønnøysund Brønnøy,2012,193606
Brønnøysund Brønnøy,2013,196973
Brønnøysund Brønnøy,2014,167587
Brønnøysund Brønnøy,2015,157833
Brønnøysund Brønnøy,2016,159629
Brønnøysund Brønnøy,2017,133108
Brønnøysund Brønnøy,2018,143262
Brønnøysund Brønnøy,2019,142746
Brønnøysund Brønnøy,2020,114836
Brønnøysund Brønnøy,2021,117801
Brønnøysund Brønnøy,2022,157982
Brønnøysund Brønnøy,2023,152309
Brønnøysund Brønnøy,2024,122799
Båtsfjord,2009,40909
Båtsfjord,2010,38419
Båtsfjord,2011,39504
Båtsfjord,2012,39880
Båtsfjord,2013,38605
Båtsfjord,2014,39282
Båtsfjord,2015,40298
Båtsfjord,2016,41602
Båtsfjord,2017,42170
Båtsfjord,2018,40658
Båtsfjord,2019,39399
Båtsfjord,2020,31494
Båtsfjord,2021,42506
Båtsfjord,2022,41031
Båtsfjord,2023,48402
Båtsfjord,2024,28904
Fagernes Leirin,2009,4919
Fagernes Leirin,2010,2797
Fagernes Leirin,2011,4057
Fagernes Leirin,2012,3165
Fagernes Leirin,2013,3263
Fagernes Leirin,2014,3537
Fagernes Leirin,2015,3106
Fagernes Leirin,2016,695
Fagernes Leirin,2017,152
Fagernes Leirin,2018,0
Fagernes Leirin,2019,0
Fagernes Leirin,2020,0
Fagernes Leirin,2021,0
Fagernes Leirin,2022,0
Fagernes Leirin,2023,0
Fagernes Leirin,2024,0
Florø,2009,146691
Florø,2010,159783
Florø,2011,165850
Florø,2012,191512
Florø,2013,211188
Florø,2014,211360
Florø,2015,183700
Florø,2016,154300
Florø,2017,153896
Florø,2018,150660
Florø,2019,159276
Florø,2020,115107
Florø,2021,119228
Florø,2022,150837
Florø,2023,157597
Florø,2024,132552
Førde Bringeland,2009,83467
Førde Bringeland,2010,84624
Førde Bringeland,2011,89426
Førde Bringeland,2012,92803
Førde Bringeland,2013,93612
Førde Bringeland,2014,90103
Førde Bringeland,2015,86224
Førde Bringeland,2016,87749
Førde Bringeland,2017,89387
Førde Bringeland,2018,89508
Førde Bringeland,2019,85851
Førde Bringeland,2020,34320
Førde Bringeland,2021,40341
Førde Bringeland,2022,64496
Førde Bringeland,2023,68850
Førde Bringeland,2024,70184
Hammerfest,2009,160290
Hammerfest,2010,153122
Hammerfest,2011,175801
Hammerfest,2012,173630
Hammerfest,2013,198005
Hammerfest,2014,199177
Hammerfest,2015,203601
Hammerfest,2016,201562
Hammerfest,2017,226274
Hammerfest,2018,207040
Hammerfest,2019,182984
Hammerfest,2020,141622
Hammerfest,2021,197165
Hammerfest,2022,200466
Hammerfest,2023,178830
Hammerfest,2024,165315
Harstad/Narvik Evenes,2009,484786
Harstad/Narvik Evenes,2010,525673
Harstad/Narvik Evenes,2011,568120
Harstad/Narvik Evenes,2012,603422
Harstad/Narvik Evenes,2013,632670
Harstad/Narvik Evenes,2014,667056
Harstad/Narvik Evenes,2015,664444
Harstad/Narvik Evenes,2016,684861
Harstad/Narvik Evenes,2017,718006
Harstad/Narvik Evenes,2018,728893
Harstad/Narvik Evenes,2019,735401
Harstad/Narvik Evenes,2020,393114
Harstad/Narvik Evenes,2021,545592
Harstad/Narvik Evenes,2022,789523
Harstad/Narvik Evenes,2023,816198
Harstad/Narvik Evenes,2024,744539
Hasvik,2009,19703
Hasvik,2010,19910
Hasvik,2011,24200
Hasvik,2012,23725
Hasvik,2013,23170
Hasvik,2014,21257
Hasvik,2015,20730
Hasvik,2016,20647
Hasvik,2017,36064
Hasvik,2018,41071
Hasvik,2019,42114
Hasvik,2020,35311
Hasvik,2021,45366
Hasvik,2022,49672
Hasvik,2023,48314
Hasvik,2024,21163
Haugesund Karmøy,2009,394359
Haugesund Karmøy,2010,408858
Haugesund Karmøy,2011,441610
Haugesund Karmøy,2012,443384
Haugesund Karmøy,2013,458706
Haugesund Karmøy,2014,457840
Haugesund Karmøy,2015,455832
Haugesund Karmøy,2016,462757
Haugesund Karmøy,2017,484046
Haugesund Karmøy,2018,477713
Haugesund Karmøy,2019,479885
Haugesund Karmøy,2020,203818
Haugesund Karmøy,2021,267207
Haugesund Karmøy,2022,400629
Haugesund Karmøy,2023,465427
Haugesund Karmøy,2024,388419
Honningsvåg Valan,2009,38514
Honningsvåg Valan,2010,38372
Honningsvåg Valan,2011,36955
Honningsvåg Valan,2012,35244
Honningsvåg Valan,2013,33920
Honningsvåg Valan,2014,35183
Honningsvåg Valan,2015,34872
Honningsvåg Valan,2016,37084
Honningsvåg Valan,2017,37745
Honningsvåg Valan,2018,36942
Honningsvåg Valan,2019,37213
Honningsvåg Valan,2020,28297
Honningsvåg Valan,2021,38215
Honningsvåg Valan,2022,42197
Honningsvåg Valan,2023,42607
Honningsvåg Valan,2024,25131
Kirkenes Høybuktmoen,2009,270096
Kirkenes Høybuktmoen,2010,275308
Kirkenes Høybuktmoen,2011,300216
Kirkenes Høybuktmoen,2012,307068
Kirkenes Høybuktmoen,2013,306108
Kirkenes Høybuktmoen,2014,309957
Kirkenes Høybuktmoen,2015,315460
Kirkenes Høybuktmoen,2016,313730
Kirkenes Høybuktmoen,2017,320549
Kirkenes Høybuktmoen,2018,317751
Kirkenes Høybuktmoen,2019,317683
Kirkenes Høybuktmoen,2020,171363
Kirkenes Høybuktmoen,2021,197033
Kirkenes Høybuktmoen,2022,257979
Kirkenes Høybuktmoen,2023,294234
Kirkenes Høybuktmoen,2024,271021
Kristiansand Kjevik,2009,612628
Kristiansand Kjevik,2010,606011
Kristiansand Kjevik,2011,679352
Kristiansand Kjevik,2012,733166
Kristiansand Kjevik,2013,721990
Kristiansand Kjevik,2014,722148
Kristiansand Kjevik,2015,732750
Kristiansand Kjevik,2016,717058
Kristiansand Kjevik,2017,734956
Kristiansand Kjevik,2018,764052
Kristiansand Kjevik,2019,732832
Kristiansand Kjevik,2020,332686
Kristiansand Kjevik,2021,364453
Kristiansand Kjevik,2022,568525
Kristiansand Kjevik,2023,608403
Kristiansand Kjevik,2024,559771
Kristiansund Kvernberget,2009,350797
Kristiansund Kvernberget,2010,339649
Kristiansund Kvernberget,2011,360533
Kristiansund Kvernberget,2012,384225
Kristiansund Kvernberget,2013,392738
Kristiansund Kvernberget,2014,380975
Kristiansund Kvernberget,2015,362298
Kristiansund Kvernberget,2016,302096
Kristiansund Kvernberget,2017,303755
Kristiansund Kvernberget,2018,317634
Kristiansund Kvernberget,2019,323317
Kristiansund Kvernberget,2020,212533
Kristiansund Kvernberget,2021,203877
Kristiansund Kvernberget,2022,278461
Kristiansund Kvernberget,2023,284479
Kristiansund Kvernberget,2024,294054
Lakselv Banak,2009,62326
Lakselv Banak,2010,59469
Lakselv Banak,2011,66495
Lakselv Banak,2012,77855
Lakselv Banak,2013,68247
Lakselv Banak,2014,65646
Lakselv Banak,2015,64571
Lakselv Banak,2016,65499
Lakselv Banak,2017,64662
Lakselv Banak,2018,62001
Lakselv Banak,2019,59378
Lakselv Banak,2020,46272
Lakselv Banak,2021,54918
Lakselv Banak,2022,59246
Lakselv Banak,2023,59984
Lakselv Banak,2024,69551
Mehamn,2009,37323
Mehamn,2010,34034
Mehamn,2011,35327
Mehamn,2012,34585
Mehamn,2013,30193
Mehamn,2014,31798
Mehamn,2015,31905
Mehamn,2016,34022
Mehamn,2017,32675
Mehamn,2018,31724
Mehamn,2019,32034
Mehamn,2020,26301
Mehamn,2021,35529
Mehamn,2022,40040
Mehamn,2023,40662
Mehamn,2024,21473
Mo i Rana Røssvold,2009,124824
Mo i Rana Røssvold,2010,127795
Mo i Rana Røssvold,2011,135181
Mo i Rana Røssvold,2012,135254
Mo i Rana Røssvold,2013,131217
Mo i Rana Røssvold,2014,135676
Mo i Rana Røssvold,2015,136180
Mo i Rana Røssvold,2016,145009
Mo i Rana Røssvold,2017,127300
Mo i Rana Røssvold,2018,113208
Mo i Rana Røssvold,2019,109755
Mo i Rana Røssvold,2020,67598
