transportmåte,ruteform,statistikkvariabel,år,value
Alle transportformer,I alt,Billettinntekter (1 000 kr),2015,11782990.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2016,13075626.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2017,13736373.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2018,14643812.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2019,15301043.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2020,8543643.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2021,8658360.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2022,13614076.0
Alle transportformer,I alt,Billettinntekter (1 000 kr),2023,15839670.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2015,601249.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2016,625120.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2017,662794.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2018,682276.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2019,718193.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2020,450516.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2021,471498.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2022,626181.0
Alle transportformer,I alt,Passasjerer i alt (1 000 passasjerer),2023,713044.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2015,57083.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2016,56977.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2017,57891.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2018,54817.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2019,59781.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2020,43018.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2021,55022.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2022,56366.0
Alle transportformer,I alt,Skoleskyss (1 000 passasjerer),2023,54173.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2015,470330.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2016,493848.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2017,531342.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2018,549727.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2019,578018.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2020,364899.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2021,375074.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2022,503120.0
Alle transportformer,I alt,Ordinære (1 000 passasjerer),2023,580651.0
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2015,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2016,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2017,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2018,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2019,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2020,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2021,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2022,
Alle transportformer,Kommersielle ruter,Billettinntekter (1 000 kr),2023,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2015,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2016,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2017,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2018,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2019,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2020,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2021,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2022,
Alle transportformer,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2023,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2015,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2016,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2017,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2018,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2019,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2020,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2021,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2022,
Alle transportformer,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2023,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2015,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2016,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2017,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2018,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2019,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2020,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2021,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2022,
Alle transportformer,Kommersielle ruter,Ordinære (1 000 passasjerer),2023,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2015,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2016,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2017,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2018,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2019,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2020,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2021,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2022,
Alle transportformer,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2023,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2015,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2016,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2017,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2018,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2019,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2020,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2021,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2022,
Alle transportformer,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2023,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2015,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2016,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2017,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2018,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2019,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2020,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2021,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2022,
Alle transportformer,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2023,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2015,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2016,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2017,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2018,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2019,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2020,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2021,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2022,
Alle transportformer,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2023,
Buss,I alt,Billettinntekter (1 000 kr),2015,4756034.0
Buss,I alt,Billettinntekter (1 000 kr),2016,5485701.0
Buss,I alt,Billettinntekter (1 000 kr),2017,5748801.0
Buss,I alt,Billettinntekter (1 000 kr),2018,6098367.0
Buss,I alt,Billettinntekter (1 000 kr),2019,6325195.0
Buss,I alt,Billettinntekter (1 000 kr),2020,3478613.0
Buss,I alt,Billettinntekter (1 000 kr),2021,3494534.0
Buss,I alt,Billettinntekter (1 000 kr),2022,5269509.0
Buss,I alt,Billettinntekter (1 000 kr),2023,6589795.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2015,356200.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2016,368621.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2017,395813.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2018,403910.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2019,434226.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2020,290659.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2021,307424.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2022,386951.0
Buss,I alt,Passasjerer i alt (1 000 passasjerer),2023,439424.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2015,56783.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2016,56506.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2017,57398.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2018,54367.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2019,59362.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2020,42720.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2021,54596.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2022,55754.0
Buss,I alt,Skoleskyss (1 000 passasjerer),2023,53567.0
Buss,I alt,Ordinære (1 000 passasjerer),2015,299418.0
Buss,I alt,Ordinære (1 000 passasjerer),2016,312116.0
Buss,I alt,Ordinære (1 000 passasjerer),2017,338416.0
Buss,I alt,Ordinære (1 000 passasjerer),2018,349543.0
Buss,I alt,Ordinære (1 000 passasjerer),2019,374864.0
Buss,I alt,Ordinære (1 000 passasjerer),2020,247939.0
Buss,I alt,Ordinære (1 000 passasjerer),2021,252828.0
Buss,I alt,Ordinære (1 000 passasjerer),2022,331197.0
Buss,I alt,Ordinære (1 000 passasjerer),2023,385857.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2015,773491.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2016,1238300.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2017,1165627.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2018,1274666.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2019,1319267.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2020,545976.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2021,478829.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2022,881425.0
Buss,Kommersielle ruter,Billettinntekter (1 000 kr),2023,1442054.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2015,6267.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2016,9737.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2017,9029.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2018,9423.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2019,9067.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2020,3260.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2021,2494.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2022,4995.0
Buss,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2023,6195.0
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2015,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2016,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2017,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2018,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2019,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2020,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2021,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2022,
Buss,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2023,
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2015,6267.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2016,9737.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2017,9029.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2018,9423.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2019,9067.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2020,3260.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2021,2494.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2022,4995.0
Buss,Kommersielle ruter,Ordinære (1 000 passasjerer),2023,6195.0
Buss,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2015,3982543.0
Buss,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2016,4247401.0
Buss,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2017,4583173.0
Buss,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2018,4823701.0
Buss,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2019,5005928.0
Buss,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2020,2932636.0
