år,transportmåte,statistikkvariabel,Fylkeskommunale ruter,I alt,Kommersielle ruter
2015,Alle transportformer,Billettinntekter (1 000 kr),0.0,11782990.0,0.0
2015,Alle transportformer,Ordinære (1 000 passasjerer),0.0,470330.0,0.0
2015,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,601249.0,0.0
2015,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,57083.0,0.0
2015,Buss,Billettinntekter (1 000 kr),3982543.0,4756034.0,773491.0
2015,Buss,Ordinære (1 000 passasjerer),293151.0,299418.0,6267.0
2015,Buss,Passasjerer i alt (1 000 passasjerer),349934.0,356200.0,6267.0
2015,Buss,Skoleskyss (1 000 passasjerer),56783.0,56783.0,0.0
2015,Båt,Billettinntekter (1 000 kr),500008.0,523670.0,23662.0
2015,Båt,Ordinære (1 000 passasjerer),9124.0,10653.0,1529.0
2015,Båt,Passasjerer i alt (1 000 passasjerer),9392.0,10921.0,1529.0
2015,Båt,Skoleskyss (1 000 passasjerer),268.0,268.0,0.0
2015,Jernbane,Billettinntekter (1 000 kr),0.0,4992378.0,0.0
2015,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2015,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,73836.0,0.0
2015,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2015,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1510909.0,1510909.0,0.0
2015,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),160259.0,160259.0,0.0
2015,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),160291.0,160291.0,0.0
2015,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),33.0,33.0,0.0
2016,Alle transportformer,Billettinntekter (1 000 kr),0.0,13075626.0,0.0
2016,Alle transportformer,Ordinære (1 000 passasjerer),0.0,493848.0,0.0
2016,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,625120.0,0.0
2016,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,56977.0,0.0
2016,Buss,Billettinntekter (1 000 kr),4247401.0,5485701.0,1238300.0
2016,Buss,Ordinære (1 000 passasjerer),302378.0,312116.0,9737.0
2016,Buss,Passasjerer i alt (1 000 passasjerer),358884.0,368621.0,9737.0
2016,Buss,Skoleskyss (1 000 passasjerer),56506.0,56506.0,0.0
2016,Båt,Billettinntekter (1 000 kr),544517.0,572168.0,27651.0
2016,Båt,Ordinære (1 000 passasjerer),9206.0,11082.0,1876.0
2016,Båt,Passasjerer i alt (1 000 passasjerer),9547.0,11423.0,1876.0
2016,Båt,Skoleskyss (1 000 passasjerer),341.0,341.0,0.0
2016,Jernbane,Billettinntekter (1 000 kr),0.0,5337024.0,0.0
2016,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2016,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,74295.0,0.0
2016,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2016,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1680733.0,1680733.0,0.0
2016,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),170650.0,170650.0,0.0
2016,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),170781.0,170781.0,0.0
2016,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),131.0,131.0,0.0
2017,Alle transportformer,Billettinntekter (1 000 kr),0.0,13736373.0,0.0
2017,Alle transportformer,Ordinære (1 000 passasjerer),0.0,531342.0,0.0
2017,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,662794.0,0.0
2017,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,57891.0,0.0
2017,Buss,Billettinntekter (1 000 kr),4583173.0,5748801.0,1165627.0
2017,Buss,Ordinære (1 000 passasjerer),329386.0,338416.0,9029.0
2017,Buss,Passasjerer i alt (1 000 passasjerer),386784.0,395813.0,9029.0
2017,Buss,Skoleskyss (1 000 passasjerer),57398.0,57398.0,0.0
2017,Båt,Billettinntekter (1 000 kr),561378.0,594126.0,32749.0
2017,Båt,Ordinære (1 000 passasjerer),9076.0,11179.0,2103.0
2017,Båt,Passasjerer i alt (1 000 passasjerer),9435.0,11538.0,2103.0
2017,Båt,Skoleskyss (1 000 passasjerer),359.0,359.0,0.0
2017,Jernbane,Billettinntekter (1 000 kr),0.0,5540075.0,0.0
2017,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2017,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,73561.0,0.0
2017,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2017,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1853372.0,1853372.0,0.0
2017,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),181747.0,181747.0,0.0
2017,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),181882.0,181882.0,0.0
2017,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),135.0,135.0,0.0
2018,Alle transportformer,Billettinntekter (1 000 kr),0.0,14643812.0,0.0
2018,Alle transportformer,Ordinære (1 000 passasjerer),0.0,549727.0,0.0
2018,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,682276.0,0.0
2018,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,54817.0,0.0
2018,Buss,Billettinntekter (1 000 kr),4823701.0,6098367.0,1274666.0
2018,Buss,Ordinære (1 000 passasjerer),340120.0,349543.0,9423.0
2018,Buss,Passasjerer i alt (1 000 passasjerer),394487.0,403910.0,9423.0
2018,Buss,Skoleskyss (1 000 passasjerer),54367.0,54367.0,0.0
2018,Båt,Billettinntekter (1 000 kr),573043.0,606571.0,33528.0
2018,Båt,Ordinære (1 000 passasjerer),9027.0,11176.0,2150.0
2018,Båt,Passasjerer i alt (1 000 passasjerer),9362.0,11512.0,2150.0
2018,Båt,Skoleskyss (1 000 passasjerer),335.0,335.0,0.0
2018,Jernbane,Billettinntekter (1 000 kr),0.0,6017619.0,0.0
2018,Jernbane,Ordinære (1 000 passasjerer),0.0,0.0,0.0
2018,Jernbane,Passasjerer i alt (1 000 passasjerer),0.0,77732.0,0.0
2018,Jernbane,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0
2018,Sporvei og forstadsbane,Billettinntekter (1 000 kr),1921255.0,1921255.0,0.0
2018,Sporvei og forstadsbane,Ordinære (1 000 passasjerer),189008.0,189008.0,0.0
2018,Sporvei og forstadsbane,Passasjerer i alt (1 000 passasjerer),189122.0,189122.0,0.0
2018,Sporvei og forstadsbane,Skoleskyss (1 000 passasjerer),115.0,115.0,0.0
2019,Alle transportformer,Billettinntekter (1 000 kr),0.0,15301043.0,0.0
2019,Alle transportformer,Ordinære (1 000 passasjerer),0.0,578018.0,0.0
2019,Alle transportformer,Passasjerer i alt (1 000 passasjerer),0.0,718193.0,0.0
2019,Alle transportformer,Skoleskyss (1 000 passasjerer),0.0,59781.0,0.0
2019,Buss,Billettinntekter (1 000 kr),5005928.0,6325195.0,1319267.0
2019,Buss,Ordinære (1 000 passasjerer),365796.0,374864.0,9067.0
2019,Buss,Passasjerer i alt (1 000 passasjerer),425158.0,434226.0,9067.0
2019,Buss,Skoleskyss (1 000 passasjerer),59362.0,59362.0,0.0
2019,Båt,Billettinntekter (1 000 kr),578390.0,609018.0,30629.0
2019,Båt,Ordinære (1 000 passasjerer),9098.0,11280.0,2182.0
2019,Båt,Passasjerer i alt (1 000 passasjerer),9400.0,11582.0,2182.0
