år,ruteform,statistikkvariabel,Alle transportformer,Buss,Båt,Jernbane,Sporvei og forstadsbane
2015,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,3982543.0,500008.0,0.0,1510909.0
2015,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,293151.0,9124.0,0.0,160259.0
2015,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,349934.0,9392.0,0.0,160291.0
2015,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,56783.0,268.0,0.0,33.0
2015,I alt,Billettinntekter (1 000 kr),11782990.0,4756034.0,523670.0,4992378.0,1510909.0
2015,I alt,Ordinære (1 000 passasjerer),470330.0,299418.0,10653.0,0.0,160259.0
2015,I alt,Passasjerer i alt (1 000 passasjerer),601249.0,356200.0,10921.0,73836.0,160291.0
2015,I alt,Skoleskyss (1 000 passasjerer),57083.0,56783.0,268.0,0.0,33.0
2015,Kommersielle ruter,Billettinntekter (1 000 kr),0.0,773491.0,23662.0,0.0,0.0
2015,Kommersielle ruter,Ordinære (1 000 passasjerer),0.0,6267.0,1529.0,0.0,0.0
2015,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),0.0,6267.0,1529.0,0.0,0.0
2015,Kommersielle ruter,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0,0.0,0.0
2016,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,4247401.0,544517.0,0.0,1680733.0
2016,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,302378.0,9206.0,0.0,170650.0
2016,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,358884.0,9547.0,0.0,170781.0
2016,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,56506.0,341.0,0.0,131.0
2016,I alt,Billettinntekter (1 000 kr),13075626.0,5485701.0,572168.0,5337024.0,1680733.0
2016,I alt,Ordinære (1 000 passasjerer),493848.0,312116.0,11082.0,0.0,170650.0
2016,I alt,Passasjerer i alt (1 000 passasjerer),625120.0,368621.0,11423.0,74295.0,170781.0
2016,I alt,Skoleskyss (1 000 passasjerer),56977.0,56506.0,341.0,0.0,131.0
2016,Kommersielle ruter,Billettinntekter (1 000 kr),0.0,1238300.0,27651.0,0.0,0.0
2016,Kommersielle ruter,Ordinære (1 000 passasjerer),0.0,9737.0,1876.0,0.0,0.0
2016,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),0.0,9737.0,1876.0,0.0,0.0
2016,Kommersielle ruter,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0,0.0,0.0
2017,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,4583173.0,561378.0,0.0,1853372.0
2017,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,329386.0,9076.0,0.0,181747.0
2017,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,386784.0,9435.0,0.0,181882.0
2017,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,57398.0,359.0,0.0,135.0
2017,I alt,Billettinntekter (1 000 kr),13736373.0,5748801.0,594126.0,5540075.0,1853372.0
2017,I alt,Ordinære (1 000 passasjerer),531342.0,338416.0,11179.0,0.0,181747.0
2017,I alt,Passasjerer i alt (1 000 passasjerer),662794.0,395813.0,11538.0,73561.0,181882.0
2017,I alt,Skoleskyss (1 000 passasjerer),57891.0,57398.0,359.0,0.0,135.0
2017,Kommersielle ruter,Billettinntekter (1 000 kr),0.0,1165627.0,32749.0,0.0,0.0
2017,Kommersielle ruter,Ordinære (1 000 passasjerer),0.0,9029.0,2103.0,0.0,0.0
2017,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),0.0,9029.0,2103.0,0.0,0.0
2017,Kommersielle ruter,Skoleskyss (1 000 passasjerer),0.0,0.0,0.0,0.0,0.0
2018,Fylkeskommunale ruter,Billettinntekter (1 000 kr),0.0,4823701.0,573043.0,0.0,1921255.0
2018,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),0.0,340120.0,9027.0,0.0,189008.0
2018,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),0.0,394487.0,9362.0,0.0,189122.0
2018,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),0.0,54367.0,335.0,0.0,115.0
2018,I alt,Billettinntekter (1 000 kr),14643812.0,6098367.0,606571.0,6017619.0,1921255.0
2018,I alt,Ordinære (1 000 passasjerer),549727.0,349543.0,11176.0,0.0,189008.0
